          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               5.394                   (-0.7634, -0.6459)                   (-1.763, -0.6382)
               5.395                   (-0.7613, -0.6485)                   (-1.761, -0.643)
               5.396                   (-0.7591, -0.651)                   (-1.759, -0.6478)
               5.397                   (-0.7568, -0.6536)                   (-1.757, -0.6525)
               5.398                   (-0.7546, -0.6562)                   (-1.755, -0.6573)
               5.399                   (-0.7524, -0.6587)                   (-1.752, -0.6621)
                 5.4                   (-0.7502, -0.6612)                   (-1.75, -0.6669)
               5.401                   (-0.7479, -0.6638)                   (-1.748, -0.6717)
               5.402                   (-0.7457, -0.6663)                   (-1.746, -0.6766)
               5.403                   (-0.7435, -0.6688)                   (-1.743, -0.6814)
               5.404                   (-0.7412, -0.6713)                   (-1.741, -0.6862)
               5.405                   (-0.7389, -0.6738)                   (-1.739, -0.6911)
               5.406                   (-0.7367, -0.6762)                   (-1.736, -0.6959)
               5.407                   (-0.7344, -0.6787)                   (-1.734, -0.7008)
               5.408                   (-0.7321, -0.6812)                   (-1.732, -0.7057)
               5.409                   (-0.7299, -0.6836)                   (-1.729, -0.7106)
                5.41                   (-0.7276, -0.686)                   (-1.727, -0.7155)
               5.411                   (-0.7253, -0.6885)                   (-1.725, -0.7204)
               5.412                   (-0.723, -0.6909)                   (-1.722, -0.7253)
               5.413                   (-0.7207, -0.6933)                   (-1.72, -0.7302)
               5.414                   (-0.7184, -0.6957)                   (-1.718, -0.7352)
               5.415                   (-0.716, -0.6981)                   (-1.715, -0.7401)
               5.416                   (-0.7137, -0.7004)                   (-1.713, -0.7451)
               5.417                   (-0.7114, -0.7028)                   (-1.71, -0.7501)
               5.418                   (-0.7091, -0.7051)                   (-1.708, -0.755)
               5.419                   (-0.7067, -0.7075)                   (-1.705, -0.76)
                5.42                   (-0.7044, -0.7098)                   (-1.703, -0.765)
               5.421                   (-0.702, -0.7121)                   (-1.7, -0.77)
               5.422                   (-0.6997, -0.7144)                   (-1.698, -0.775)
               5.423                   (-0.6973, -0.7167)                   (-1.695, -0.78)
               5.424                   (-0.695, -0.719)                   (-1.693, -0.7851)
               5.425                   (-0.6926, -0.7213)                   (-1.69, -0.7901)
               5.426                   (-0.6903, -0.7236)                   (-1.688, -0.7952)
               5.427                   (-0.6879, -0.7258)                   (-1.685, -0.8002)
               5.428                   (-0.6855, -0.7281)                   (-1.683, -0.8053)
               5.429                   (-0.6831, -0.7303)                   (-1.68, -0.8103)
                5.43                   (-0.6808, -0.7325)                   (-1.677, -0.8154)
               5.431                   (-0.6784, -0.7347)                   (-1.675, -0.8205)
               5.432                   (-0.676, -0.7369)                   (-1.672, -0.8256)
               5.433                   (-0.6736, -0.7391)                   (-1.669, -0.8307)
               5.434                   (-0.6712, -0.7413)                   (-1.667, -0.8358)
               5.435                   (-0.6688, -0.7434)                   (-1.664, -0.841)
               5.436                   (-0.6664, -0.7456)                   (-1.661, -0.8461)
               5.437                   (-0.664, -0.7477)                   (-1.659, -0.8512)
               5.438                   (-0.6616, -0.7498)                   (-1.656, -0.8564)
               5.439                   (-0.6592, -0.7519)                   (-1.653, -0.8616)
                5.44                   (-0.6568, -0.754)                   (-1.65, -0.8667)
               5.441                   (-0.6544, -0.7561)                   (-1.648, -0.8719)
               5.442                   (-0.652, -0.7582)                   (-1.645, -0.8771)
               5.443                   (-0.6496, -0.7603)                   (-1.642, -0.8823)
               5.444                   (-0.6472, -0.7623)                   (-1.639, -0.8875)
               5.445                   (-0.6448, -0.7644)                   (-1.636, -0.8927)
               5.446                   (-0.6423, -0.7664)                   (-1.634, -0.8979)
               5.447                   (-0.6399, -0.7684)                   (-1.631, -0.9031)
               5.448                   (-0.6375, -0.7704)                   (-1.628, -0.9083)
               5.449                   (-0.6351, -0.7724)                   (-1.625, -0.9136)
                5.45                   (-0.6327, -0.7744)                   (-1.622, -0.9188)
               5.451                   (-0.6302, -0.7764)                   (-1.619, -0.9241)
               5.452                   (-0.6278, -0.7784)                   (-1.616, -0.9293)
               5.453                   (-0.6254, -0.7803)                   (-1.613, -0.9346)
               5.454                   (-0.623, -0.7822)                   (-1.61, -0.9399)
               5.455                   (-0.6206, -0.7842)                   (-1.608, -0.9452)
               5.456                   (-0.6181, -0.7861)                   (-1.605, -0.9505)
               5.457                   (-0.6157, -0.788)                   (-1.602, -0.9558)
               5.458                   (-0.6133, -0.7899)                   (-1.599, -0.9611)
               5.459                   (-0.6109, -0.7917)                   (-1.595, -0.9664)
                5.46                   (-0.6085, -0.7936)                   (-1.592, -0.9717)
               5.461                   (-0.606, -0.7954)                   (-1.589, -0.977)
               5.462                   (-0.6036, -0.7973)                   (-1.586, -0.9824)
               5.463                   (-0.6012, -0.7991)                   (-1.583, -0.9877)
               5.464                   (-0.5988, -0.8009)                   (-1.58, -0.9931)
